"","state","2018","2019","pct_change"
"1","alabama",112.4,106.3,0.000495540138751239
"2","alaska",34.5,34.3,0.000495540138751239
"3","arizona",94.1,92.6,0.000495540138751239
"4","arkansas",70.8,65.1,0.000495540138751239
"5","california",358.6,358.3,0.000495540138751239
"6","colorado",90.1,91.7,0.000495540138751239
"7","connecticut",37.4,36.6,0.000495540138751239
"8","delaware",14,13.6,0.000495540138751239
"9","district of columbia",2.9,2.8,0.000495540138751239
"10","florida",242,233.6,0.000495540138751239
"11","georgia",141.9,136.5,0.000495540138751239
"12","hawaii",20.3,20.5,0.000495540138751239
"13","idaho",19,20.1,0.000495540138751239
"14","illinois",213.1,203.5,0.000495540138751239
"15","indiana",189.2,176.2,0.000495540138751239
"16","iowa",82.4,77.3,0.000495540138751239
"17","kansas",62.9,60.5,0.000495540138751239
"18","kentucky",122.8,114.7,0.000495540138751239
"19","louisiana",194.8,194.9,0.000495540138751239
"20","maine",14.8,14.4,0.000495540138751239
"21","maryland",61.7,56.9,0.000495540138751239
"22","massachusetts",64.1,63.3,0.000495540138751239
"23","michigan",163.7,159.3,0.000495540138751239
"24","minnesota",94.8,92.1,0.000495540138751239
"25","mississippi",63.2,62.6,0.000495540138751239
"26","missouri",124.8,117,0.000495540138751239
"27","montana",31.3,32.3,0.000495540138751239
"28","nebraska",52.4,50.5,0.000495540138751239
"29","nevada",41.4,41.8,0.000495540138751239
"30","new hampshire",14.2,13.9,0.000495540138751239
"31","new jersey",105.1,100.9,0.000495540138751239
"32","new mexico",45.9,48.9,0.000495540138751239
"33","new york",175.1,169,0.000495540138751239
"34","north carolina",124.2,122.6,0.000495540138751239
"35","north dakota",59.3,57.2,0.000495540138751239
"36","ohio",209,196.7,0.000495540138751239
"37","oklahoma",98.5,91.5,0.000495540138751239
"38","oregon",39.6,41.8,0.000495540138751239
"39","pennsylvania",220.2,218.8,0.000495540138751239
"40","rhode island",11.1,10.4,0.000495540138751239
"41","south carolina",74.1,69.4,0.000495540138751239
"42","south dakota",15.5,16,0.000495540138751239
"43","tennessee",93.8,92.3,0.000495540138751239
"44","texas",684.8,683.4,0.000495540138751239
"45","utah",61.2,61.5,0.000495540138751239
"46","vermont",5.9,6,0.000495540138751239
"47","virginia",110.1,106.8,0.000495540138751239
"48","washington",78.7,84.2,0.000495540138751239
"49","west virginia",89.1,85.5,0.000495540138751239
"50","wisconsin",101.2,94.8,0.000495540138751239
"51","wyoming",63.8,59.1,0.000495540138751239
