"","state","avg_emission"
"1","alabama",108.4
"2","alaska",38.9
"3","arizona",83
"4","arkansas",62
"5","california",324
"6","colorado",85.4
"7","connecticut",36.6
"8","delaware",13
"9","district of columbia",2.5
"10","florida",226.3
"11","georgia",124.1
"12","hawaii",17.3
"13","idaho",20.5
"14","illinois",184.2
"15","indiana",166.4
"16","iowa",73.1
"17","kansas",59.8
"18","kentucky",111.3
"19","louisiana",188.6
"20","maine",14.4
"21","maryland",52.6
"22","massachusetts",56.1
"23","michigan",147.8
"24","minnesota",83.2
"25","mississippi",63.1
"26","missouri",117
"27","montana",28.5
"28","nebraska",47.2
"29","nevada",39.4
"30","new hampshire",13.3
"31","new jersey",89.1
"32","new mexico",45.9
"33","new york",156
"34","north carolina",115.6
"35","north dakota",56.5
"36","ohio",194
"37","oklahoma",87.8
"38","oregon",38.5
"39","pennsylvania",213.5
"40","rhode island",10.6
"41","south carolina",69.3
"42","south dakota",15.2
"43","tennessee",92.7
"44","texas",663.5
"45","utah",62.1
"46","vermont",5.6
"47","virginia",98
"48","washington",73.8
"49","west virginia",88.4
"50","wisconsin",92.5
"51","wyoming",54.6
