"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BEL","TAXENV","TOT","PC_GDP","A","2011",1.73,
"BEL","TAXENV","TOT","PC_GDP","A","2012",1.66,
"BEL","TAXENV","TOT","PC_GDP","A","2013",1.59,
"BEL","TAXENV","TOT","PC_GDP","A","2014",1.59,
"BEL","TAXENV","TOT","PC_GDP","A","2015",1.62,
"BEL","TAXENV","TOT","PC_GDP","A","2016",1.7,
"BEL","TAXENV","TOT","PC_GDP","A","2017",1.8,
"BEL","TAXENV","TOT","PC_GDP","A","2018",1.82,
"BEL","TAXENV","TOT","PC_GDP","A","2019",1.71,
"BEL","TAXENV","TOT","PC_GDP","A","2020",1.56,
"BEL","TAXENV","TOT","PC_GDP","A","2021",1.62,
"DNK","TAXENV","TOT","PC_GDP","A","2011",4.14,
"DNK","TAXENV","TOT","PC_GDP","A","2012",4.04,
"DNK","TAXENV","TOT","PC_GDP","A","2013",4.05,
"DNK","TAXENV","TOT","PC_GDP","A","2014",4.01,
"DNK","TAXENV","TOT","PC_GDP","A","2015",3.99,
"DNK","TAXENV","TOT","PC_GDP","A","2016",3.91,
"DNK","TAXENV","TOT","PC_GDP","A","2017",3.66,
"DNK","TAXENV","TOT","PC_GDP","A","2018",3.62,
"DNK","TAXENV","TOT","PC_GDP","A","2019",3.31,
"DNK","TAXENV","TOT","PC_GDP","A","2020",3.18,
"DNK","TAXENV","TOT","PC_GDP","A","2021",2.89,
"FRA","TAXENV","TOT","PC_GDP","A","2011",2.15,
"FRA","TAXENV","TOT","PC_GDP","A","2012",2.17,
"FRA","TAXENV","TOT","PC_GDP","A","2013",2.25,
"FRA","TAXENV","TOT","PC_GDP","A","2014",2.21,
"FRA","TAXENV","TOT","PC_GDP","A","2015",2.33,
"FRA","TAXENV","TOT","PC_GDP","A","2016",2.38,
"FRA","TAXENV","TOT","PC_GDP","A","2017",2.42,
"FRA","TAXENV","TOT","PC_GDP","A","2018",2.47,
"FRA","TAXENV","TOT","PC_GDP","A","2019",2.38,
"FRA","TAXENV","TOT","PC_GDP","A","2020",2.28,
"FRA","TAXENV","TOT","PC_GDP","A","2021",2.28,
"HUN","TAXENV","TOT","PC_GDP","A","2011",2.75,
"HUN","TAXENV","TOT","PC_GDP","A","2012",2.86,
"HUN","TAXENV","TOT","PC_GDP","A","2013",2.72,
"HUN","TAXENV","TOT","PC_GDP","A","2014",2.37,
"HUN","TAXENV","TOT","PC_GDP","A","2015",2.73,
"HUN","TAXENV","TOT","PC_GDP","A","2016",2.8,
"HUN","TAXENV","TOT","PC_GDP","A","2017",2.69,
"HUN","TAXENV","TOT","PC_GDP","A","2018",2.56,
"HUN","TAXENV","TOT","PC_GDP","A","2019",2.46,
"HUN","TAXENV","TOT","PC_GDP","A","2020",2.44,
"HUN","TAXENV","TOT","PC_GDP","A","2021",2.27,
"LUX","TAXENV","TOT","PC_GDP","A","2011",2.32,
"LUX","TAXENV","TOT","PC_GDP","A","2012",2.25,
"LUX","TAXENV","TOT","PC_GDP","A","2013",2.06,
"LUX","TAXENV","TOT","PC_GDP","A","2014",1.91,
"LUX","TAXENV","TOT","PC_GDP","A","2015",1.78,
"LUX","TAXENV","TOT","PC_GDP","A","2016",1.68,
"LUX","TAXENV","TOT","PC_GDP","A","2017",1.66,
"LUX","TAXENV","TOT","PC_GDP","A","2018",1.73,
"LUX","TAXENV","TOT","PC_GDP","A","2019",1.77,
"LUX","TAXENV","TOT","PC_GDP","A","2020",1.4,
"LUX","TAXENV","TOT","PC_GDP","A","2021",1.19,
"NOR","TAXENV","TOT","PC_GDP","A","2011",2.43,
"NOR","TAXENV","TOT","PC_GDP","A","2012",2.28,
"NOR","TAXENV","TOT","PC_GDP","A","2013",2.28,
"NOR","TAXENV","TOT","PC_GDP","A","2014",2.27,
