"","state","avg_emission"
"1","alabama",112.4
"2","alaska",34.5
"3","arizona",94.1
"4","arkansas",70.8
"5","california",358.6
"6","colorado",90.1
"7","connecticut",37.4
"8","delaware",14
"9","district of columbia",2.9
"10","florida",242
"11","georgia",141.9
"12","hawaii",20.3
"13","idaho",19
"14","illinois",213.1
"15","indiana",189.2
"16","iowa",82.4
"17","kansas",62.9
"18","kentucky",122.8
"19","louisiana",194.8
"20","maine",14.8
"21","maryland",61.7
"22","massachusetts",64.1
"23","michigan",163.7
"24","minnesota",94.8
"25","mississippi",63.2
"26","missouri",124.8
"27","montana",31.3
"28","nebraska",52.4
"29","nevada",41.4
"30","new hampshire",14.2
"31","new jersey",105.1
"32","new mexico",45.9
"33","new york",175.1
"34","north carolina",124.2
"35","north dakota",59.3
"36","ohio",209
"37","oklahoma",98.5
"38","oregon",39.6
"39","pennsylvania",220.2
"40","rhode island",11.1
"41","south carolina",74.1
"42","south dakota",15.5
"43","tennessee",93.8
"44","texas",684.8
"45","utah",61.2
"46","vermont",5.9
"47","virginia",110.1
"48","washington",78.7
"49","west virginia",89.1
"50","wisconsin",101.2
"51","wyoming",63.8
