state,avg_income_2022,avg_income_2021
District of Columbia,"$96,728 ","$96,659 "
Connecticut,"$84,972 ","$82,885 "
Massachusetts,"$84,945 ","$83,593 "
New Jersey,"$78,700 ","$77,009 "
New York,"$78,089 ","$76,753 "
California,"$77,339 ","$76,800 "
Washington,"$75,698 ","$73,755 "
New Hampshire,"$74,663 ","$73,279 "
Colorado,"$74,167 ","$70,715 "
Wyoming,"$71,342 ","$69,584 "
Maryland,"$70,730 ","$69,710 "
Alaska,"$68,919 ","$65,677 "
Illinois,"$68,822 ","$67,165 "
Virginia,"$68,211 ","$66,190 "
Minnesota,"$68,010 ","$66,232 "
North Dakota,"$66,184 ","$64,276 "
South Dakota,"$65,806 ","$64,405 "
Rhode Island,"$65,377 ","$64,296 "
Pennsylvania,"$65,167 ","$64,042 "
Florida,"$63,597 ","$62,136 "
Nebraska,"$63,321 ","$61,210 "
Vermont,"$63,206 ","$61,748 "
Oregon,"$62,767 ","$61,449 "
Texas,"$61,985 ","$59,802 "
Delaware,"$61,387 ","$59,846 "
Nevada,"$61,282 ","$60,167 "
Wisconsin,"$61,210 ","$59,787 "
Hawaii,"$61,175 ","$60,711 "
Kansas,"$60,152 ","$58,857 "
Maine,"$59,463 ","$58,272 "
Iowa,"$58,905 ","$57,080 "
Tennessee,"$58,279 ","$56,616 "
Indiana,"$57,930 ","$56,435 "
Utah,"$57,925 ","$56,000 "
Ohio,"$57,880 ","$56,955 "
Montana,"$57,719 ","$56,848 "
North Carolina,"$57,416 ","$56,095 "
Georgia,"$57,129 ","$55,846 "
Michigan,"$56,813 ","$56,569 "
Arizona,"$56,667 ","$55,574 "
Missouri,"$56,551 ","$55,310 "
Oklahoma,"$54,998 ","$53,808 "
Louisiana,"$54,622 ","$54,181 "
Idaho,"$54,537 ","$52,276 "
South Carolina,"$53,320 ","$52,441 "
Kentucky,"$52,109 ","$51,298 "
Arkansas,"$51,787 ","$50,588 "
New Mexico,"$51,500 ","$50,292 "
Alabama,"$50,637 ","$49,671 "
West Virginia,"$49,169 ","$48,418 "
Mississippi,"$46,248 ","$45,887 "
