state,gasoline_tax
Alabama,26
Alaska,8.95
Arizona,19
Arkansas,24.8
California,55.5
Colorado,22
Connecticut,25
Delaware,23
Florida,32.625
Georgia,28.7
Hawaii,16
Idaho,33
Illinois,39.8
Indiana,31
Iowa,30
Kansas,24.03
Kentucky,26
Louisiana,20.125
Maine,30
Maryland,36.3
Massachusetts,24
Michigan,26.3
Minnesota,28.6
Mississippi,18.4
Missouri ,17.42
Montana,32
Nebraska,29.6
Nevada,24.805
New Hampshire,23.825
New Jersey,50.7
New Mexico,18.875
New York,24.65
North Carolina,36.35
North Dakota,23
Ohio,38.5
Oklahoma,20
Oregon ,36
Pennsylvania,57.6
Rhode Island,35
South Carolina,24.75
South Dakota,30
Tennessee,27.4
Texas,20
Utah,31.4
Vermont,30.46
Virginia,21.2
Washington,49.4
West Virginia,35.7
Wisconsin,32.9
Wyoming,24
District of Columbia,28.8
