Rank,Population Density ▲,County , Population
1,8.2/sq mi,"Clinch, GA ","6,777"
2,8.7/sq mi,"Taliaferro, GA ","1,700"
3,9.6/sq mi,"Echols, GA ","4,018"
4,9.6/sq mi,"Baker, GA ","3,342"
5,12.7/sq mi,"Stewart, GA ","5,900"
6,13.1/sq mi,"Webster, GA ","2,744"
7,14.3/sq mi,"Clay, GA ","3,110"
8,15.0/sq mi,"Quitman, GA ","2,407"
9,16.7/sq mi,"Talbot, GA ","6,594"
10,16.7/sq mi,"Charlton, GA ","13,098"
11,17.2/sq mi,"Randolph, GA ","7,411"
12,18.9/sq mi,"Hancock, GA ","9,043"
13,19.6/sq mi,"Warren, GA ","5,626"
14,20.6/sq mi,"Early, GA ","10,662"
15,20.9/sq mi,"Wilkinson, GA ","9,455"
16,21.2/sq mi,"Miller, GA ","6,017"
17,21.4/sq mi,"Wilkes, GA ","10,123"
18,21.4/sq mi,"Glascock, GA ","3,086"
19,21.8/sq mi,"Screven, GA ","14,281"
20,22.4/sq mi,"Taylor, GA ","8,505"
21,23.1/sq mi,"Calhoun, GA ","6,549"
22,23.7/sq mi,"Wilcox, GA ","9,061"
23,23.7/sq mi,"Twiggs, GA ","8,612"
24,23.8/sq mi,"Marion, GA ","8,751"
25,24.1/sq mi,"Atkinson, GA ","8,297"
26,24.7/sq mi,"Mcintosh, GA ","14,172"
27,24.9/sq mi,"Jenkins, GA ","8,794"
28,26.1/sq mi,"Irwin, GA ","9,482"
29,26.4/sq mi,"Wheeler, GA ","7,932"
30,27.6/sq mi,"Terrell, GA ","9,304"
31,27.7/sq mi,"Burke, GA ","23,136"
32,29.3/sq mi,"Turner, GA ","8,491"
33,30.1/sq mi,"Schley, GA ","5,054"
34,30.3/sq mi,"Lincoln, GA ","7,800"
35,30.5/sq mi,"Washington, GA ","20,861"
36,31.3/sq mi,"Jefferson, GA ","16,554"
37,31.7/sq mi,"Brooks, GA ","15,766"
38,32.1/sq mi,"Johnson, GA ","9,850"
39,32.9/sq mi,"Emanuel, GA ","22,731"
40,33.2/sq mi,"Oglethorpe, GA ","14,695"
41,33.5/sq mi,"Treutlen, GA ","6,781"
42,34.3/sq mi,"Seminole, GA ","8,804"
43,35.1/sq mi,"Macon, GA ","14,232"
44,36.0/sq mi,"Appling, GA ","18,421"
45,36.4/sq mi,"Dooly, GA ","14,443"
46,36.5/sq mi,"Jasper, GA ","13,647"
47,36.8/sq mi,"Montgomery, GA ","9,000"
48,37.1/sq mi,"Telfair, GA ","16,493"
49,37.2/sq mi,"Worth, GA ","21,365"
50,38.4/sq mi,"Crawford, GA ","12,536"
51,38.8/sq mi,"Heard, GA ","11,674"
