"","county_code","county_name"
"1","13001","appling"
"2","13003","atkinson"
"3","13005","bacon"
"4","13007","baker"
"5","13009","baldwin"
"6","13011","banks"
"7","13013","barrow"
"8","13015","bartow"
"9","13017","ben hill"
"10","13019","berrien"
"11","13021","bibb"
"12","13023","bleckley"
"13","13025","brantley"
"14","13027","brooks"
"15","13029","bryan"
"16","13031","bulloch"
"17","13033","burke"
"18","13035","butts"
"19","13037","calhoun"
"20","13039","camden"
"21","13043","candler"
"22","13045","carroll"
"23","13047","catoosa"
"24","13049","charlton"
"25","13051","chatham"
"26","13053","chattahoochee"
"27","13055","chattooga"
"28","13057","cherokee"
"29","13059","clarke"
"30","13061","clay"
"31","13063","clayton"
"32","13065","clinch"
"33","13067","cobb"
"34","13069","coffee"
"35","13071","colquitt"
"36","13073","columbia"
"37","13075","cook"
"38","13077","coweta"
"39","13079","crawford"
"40","13081","crisp"
"41","13083","dade"
"42","13085","dawson"
"43","13087","decatur"
"44","13089","de kalb"
"45","13091","dodge"
"46","13093","dooly"
"47","13095","dougherty"
"48","13097","douglas"
"49","13099","early"
"50","13101","echols"
"51","13103","effingham"
"52","13105","elbert"
"53","13107","emanuel"
"54","13109","evans"
"55","13111","fannin"
"56","13113","fayette"
"57","13115","floyd"
"58","13117","forsyth"
"59","13119","franklin"
"60","13121","fulton"
"61","13123","gilmer"
"62","13125","glascock"
"63","13127","glynn"
"64","13129","gordon"
"65","13131","grady"
"66","13133","greene"
"67","13135","gwinnett"
"68","13137","habersham"
"69","13139","hall"
"70","13141","hancock"
"71","13143","haralson"
"72","13145","harris"
"73","13147","hart"
"74","13149","heard"
"75","13151","henry"
"76","13153","houston"
"77","13155","irwin"
"78","13157","jackson"
"79","13159","jasper"
"80","13161","jeff davis"
"81","13163","jefferson"
"82","13165","jenkins"
"83","13167","johnson"
"84","13169","jones"
"85","13171","lamar"
"86","13173","lanier"
"87","13175","laurens"
"88","13177","lee"
"89","13179","liberty"
"90","13181","lincoln"
"91","13183","long"
"92","13185","lowndes"
"93","13187","lumpkin"
"94","13189","mcduffie"
"95","13191","mcintosh"
"96","13193","macon"
"97","13195","madison"
"98","13197","marion"
"99","13199","meriwether"
"100","13201","miller"
"101","13205","mitchell"
"102","13207","monroe"
"103","13209","montgomery"
"104","13211","morgan"
"105","13213","murray"
"106","13215","muscogee"
"107","13217","newton"
"108","13219","oconee"
"109","13221","oglethorpe"
"110","13223","paulding"
"111","13225","peach"
"112","13227","pickens"
"113","13229","pierce"
"114","13231","pike"
"115","13233","polk"
"116","13235","pulaski"
"117","13237","putnam"
"118","13239","quitman"
"119","13241","rabun"
"120","13243","randolph"
"121","13245","richmond"
"122","13247","rockdale"
"123","13249","schley"
"124","13251","screven"
"125","13253","seminole"
"126","13255","spalding"
"127","13257","stephens"
"128","13259","stewart"
"129","13261","sumter"
"130","13263","talbot"
"131","13265","taliaferro"
"132","13267","tattnall"
"133","13269","taylor"
"134","13271","telfair"
"135","13273","terrell"
"136","13275","thomas"
"137","13277","tift"
"138","13279","toombs"
"139","13281","towns"
"140","13283","treutlen"
"141","13285","troup"
"142","13287","turner"
"143","13289","twiggs"
"144","13291","union"
"145","13293","upson"
"146","13295","walker"
"147","13297","walton"
"148","13299","ware"
"149","13301","warren"
"150","13303","washington"
"151","13305","wayne"
"152","13307","webster"
"153","13309","wheeler"
"154","13311","white"
"155","13313","whitfield"
"156","13315","wilcox"
"157","13317","wilkes"
"158","13319","wilkinson"
"159","13321","worth"
