"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TAXENV","ENRG","PC_GDP","A","1994",1.86,
"AUS","TAXENV","ENRG","PC_GDP","A","1995",1.97,
"AUS","TAXENV","ENRG","PC_GDP","A","1996",1.89,
"AUS","TAXENV","ENRG","PC_GDP","A","1997",2.14,
"AUS","TAXENV","ENRG","PC_GDP","A","1998",2.17,
"AUS","TAXENV","ENRG","PC_GDP","A","1999",2.08,
"AUS","TAXENV","ENRG","PC_GDP","A","2000",1.76,
"AUS","TAXENV","ENRG","PC_GDP","A","2001",1.69,
"AUS","TAXENV","ENRG","PC_GDP","A","2002",1.66,
"AUS","TAXENV","ENRG","PC_GDP","A","2003",1.61,
"AUS","TAXENV","ENRG","PC_GDP","A","2004",1.59,
"AUS","TAXENV","ENRG","PC_GDP","A","2005",1.44,
"AUS","TAXENV","ENRG","PC_GDP","A","2006",1.38,
"AUS","TAXENV","ENRG","PC_GDP","A","2007",1.31,
"AUS","TAXENV","ENRG","PC_GDP","A","2008",1.18,
"AUS","TAXENV","ENRG","PC_GDP","A","2009",1.23,
"AUS","TAXENV","ENRG","PC_GDP","A","2010",1.19,
"AUS","TAXENV","ENRG","PC_GDP","A","2011",1.13,
"AUS","TAXENV","ENRG","PC_GDP","A","2012",1.59,
"AUS","TAXENV","ENRG","PC_GDP","A","2013",1.54,
"AUS","TAXENV","ENRG","PC_GDP","A","2014",1.08,
"AUS","TAXENV","ENRG","PC_GDP","A","2015",1.08,
"AUS","TAXENV","ENRG","PC_GDP","A","2016",1.05,
"AUS","TAXENV","ENRG","PC_GDP","A","2017",1.02,
"AUS","TAXENV","ENRG","PC_GDP","A","2018",0.96,
"AUS","TAXENV","ENRG","PC_GDP","A","2019",0.95,
"AUS","TAXENV","ENRG","PC_GDP","A","2020",0.9,
"AUS","TAXENV","ENRG","PC_GDP","A","2021",0.81,
"AUS","TAXENV","TOT","PC_GDP","A","1994",2.46,
"AUS","TAXENV","TOT","PC_GDP","A","1995",2.88,
"AUS","TAXENV","TOT","PC_GDP","A","1996",2.8,
"AUS","TAXENV","TOT","PC_GDP","A","1997",3.02,
"AUS","TAXENV","TOT","PC_GDP","A","1998",3.11,
"AUS","TAXENV","TOT","PC_GDP","A","1999",2.9,
"AUS","TAXENV","TOT","PC_GDP","A","2000",2.58,
"AUS","TAXENV","TOT","PC_GDP","A","2001",2.55,
"AUS","TAXENV","TOT","PC_GDP","A","2002",2.46,
"AUS","TAXENV","TOT","PC_GDP","A","2003",2.42,
"AUS","TAXENV","TOT","PC_GDP","A","2004",2.36,
"AUS","TAXENV","TOT","PC_GDP","A","2005",2.16,
"AUS","TAXENV","TOT","PC_GDP","A","2006",2.08,
"AUS","TAXENV","TOT","PC_GDP","A","2007",2.01,
"AUS","TAXENV","TOT","PC_GDP","A","2008",1.83,
"AUS","TAXENV","TOT","PC_GDP","A","2009",1.92,
"AUS","TAXENV","TOT","PC_GDP","A","2010",1.87,
"AUS","TAXENV","TOT","PC_GDP","A","2011",1.82,
"AUS","TAXENV","TOT","PC_GDP","A","2012",2.33,
"AUS","TAXENV","TOT","PC_GDP","A","2013",2.3,
"AUS","TAXENV","TOT","PC_GDP","A","2014",1.85,
"AUS","TAXENV","TOT","PC_GDP","A","2015",1.88,
"AUS","TAXENV","TOT","PC_GDP","A","2016",1.76,
"AUS","TAXENV","TOT","PC_GDP","A","2017",1.77,
"AUS","TAXENV","TOT","PC_GDP","A","2018",1.69,
"AUS","TAXENV","TOT","PC_GDP","A","2019",1.67,
"AUS","TAXENV","TOT","PC_GDP","A","2020",1.59,
"AUS","TAXENV","TOT","PC_GDP","A","2021",1.5,
"AUT","TAXENV","ENRG","PC_GDP","A","1994",1.17,
"AUT","TAXENV","ENRG","PC_GDP","A","1995",1.3,
"AUT","TAXENV","ENRG","PC_GDP","A","1996",1.42,
"AUT","TAXENV","ENRG","PC_GDP","A","1997",1.62,
"AUT","TAXENV","ENRG","PC_GDP","A","1998",1.52,
"AUT","TAXENV","ENRG","PC_GDP","A","1999",1.52,
"AUT","TAXENV","ENRG","PC_GDP","A","2000",1.54,
"AUT","TAXENV","ENRG","PC_GDP","A","2001",1.65,
"AUT","TAXENV","ENRG","PC_GDP","A","2002",1.68,
"AUT","TAXENV","ENRG","PC_GDP","A","2003",1.73,
"AUT","TAXENV","ENRG","PC_GDP","A","2004",1.79,
"AUT","TAXENV","ENRG","PC_GDP","A","2005",1.71,
"AUT","TAXENV","ENRG","PC_GDP","A","2006",1.58,
"AUT","TAXENV","ENRG","PC_GDP","A","2007",1.57,
"AUT","TAXENV","ENRG","PC_GDP","A","2008",1.57,
"AUT","TAXENV","ENRG","PC_GDP","A","2009",1.55,
"AUT","TAXENV","ENRG","PC_GDP","A","2010",1.55,
"AUT","TAXENV","ENRG","PC_GDP","A","2011",1.62,
"AUT","TAXENV","ENRG","PC_GDP","A","2012",1.58,
"AUT","TAXENV","ENRG","PC_GDP","A","2013",1.57,
"AUT","TAXENV","ENRG","PC_GDP","A","2014",1.51,
"AUT","TAXENV","ENRG","PC_GDP","A","2015",1.52,
"AUT","TAXENV","ENRG","PC_GDP","A","2016",1.48,
"AUT","TAXENV","ENRG","PC_GDP","A","2017",1.5,
"AUT","TAXENV","ENRG","PC_GDP","A","2018",1.4,
"AUT","TAXENV","ENRG","PC_GDP","A","2019",1.4,
"AUT","TAXENV","ENRG","PC_GDP","A","2020",1.21,
"AUT","TAXENV","ENRG","PC_GDP","A","2021",1.31,
"AUT","TAXENV","TOT","PC_GDP","A","1994",1.86,
"AUT","TAXENV","TOT","PC_GDP","A","1995",2.05,
"AUT","TAXENV","TOT","PC_GDP","A","1996",2.17,
"AUT","TAXENV","TOT","PC_GDP","A","1997",2.45,
"AUT","TAXENV","TOT","PC_GDP","A","1998",2.4,
"AUT","TAXENV","TOT","PC_GDP","A","1999",2.4,
"AUT","TAXENV","TOT","PC_GDP","A","2000",2.51,
"AUT","TAXENV","TOT","PC_GDP","A","2001",2.72,
"AUT","TAXENV","TOT","PC_GDP","A","2002",2.77,
"AUT","TAXENV","TOT","PC_GDP","A","2003",2.83,
"AUT","TAXENV","TOT","PC_GDP","A","2004",2.79,
"AUT","TAXENV","TOT","PC_GDP","A","2005",2.7,
"AUT","TAXENV","TOT","PC_GDP","A","2006",2.55,
"AUT","TAXENV","TOT","PC_GDP","A","2007",2.49,
"AUT","TAXENV","TOT","PC_GDP","A","2008",2.47,
"AUT","TAXENV","TOT","PC_GDP","A","2009",2.47,
"AUT","TAXENV","TOT","PC_GDP","A","2010",2.46,
"AUT","TAXENV","TOT","PC_GDP","A","2011",2.54,
"AUT","TAXENV","TOT","PC_GDP","A","2012",2.53,
"AUT","TAXENV","TOT","PC_GDP","A","2013",2.51,
"AUT","TAXENV","TOT","PC_GDP","A","2014",2.52,
"AUT","TAXENV","TOT","PC_GDP","A","2015",2.51,
"AUT","TAXENV","TOT","PC_GDP","A","2016",2.48,
"AUT","TAXENV","TOT","PC_GDP","A","2017",2.53,
"AUT","TAXENV","TOT","PC_GDP","A","2018",2.41,
"AUT","TAXENV","TOT","PC_GDP","A","2019",2.41,
"AUT","TAXENV","TOT","PC_GDP","A","2020",2.21,
"AUT","TAXENV","TOT","PC_GDP","A","2021",2.28,
"BEL","TAXENV","ENRG","PC_GDP","A","1994",1.54,
"BEL","TAXENV","ENRG","PC_GDP","A","1995",1.5,
"BEL","TAXENV","ENRG","PC_GDP","A","1996",1.57,
"BEL","TAXENV","ENRG","PC_GDP","A","1997",1.56,
"BEL","TAXENV","ENRG","PC_GDP","A","1998",1.54,
